dateTime,timerName,progNo,iActual2,pha2
2019-08-01 13:37:06.490,ub01l2-timer,101,8.51,42.23
2019-08-01 13:37:48.930,ub01l2-timer,101,8.58,42.26
2019-08-01 13:40:51.970,ub01l2-timer,101,8.57,42.78
2019-08-01 13:45:15.180,ub01l2-timer,101,8.56,42.51
2019-08-01 13:50:00.600,ub01l2-timer,101,8.59,41.95
2019-08-01 13:50:54.430,ub01l2-timer,101,8.51,45.12
2019-08-01 13:51:36.770,ub01l2-timer,101,8.52,44.75
2019-08-01 13:52:22.870,ub01l2-timer,101,8.52,44.29
2019-08-01 13:53:05.250,ub01l2-timer,101,8.60,44.83
2019-08-01 13:59:54.980,ub01l2-timer,101,8.56,44.78
2019-08-01 14:05:00.570,ub01l2-timer,101,8.53,44.58
2019-08-01 14:05:54.080,ub01l2-timer,101,8.57,42.30
2019-08-01 14:06:53.880,ub01l2-timer,101,8.53,42.48
2019-08-01 14:26:41.250,ub01l2-timer,101,8.59,42.71
2019-08-01 14:27:26.140,ub01l2-timer,101,8.52,42.30
2019-08-01 14:28:11.580,ub01l2-timer,101,8.51,42.17
2019-08-01 14:28:57.130,ub01l2-timer,101,8.51,42.08
2019-08-01 14:32:36.370,ub01l2-timer,101,8.59,42.77
2019-08-01 14:33:21.020,ub01l2-timer,101,8.57,43.14
2019-08-01 14:34:03.390,ub01l2-timer,101,8.57,42.13
2019-08-01 14:34:57.050,ub01l2-timer,101,8.57,44.82
2019-08-01 14:37:12.240,ub01l2-timer,101,8.48,44.77
2019-08-01 14:39:45.430,ub01l2-timer,101,8.50,43.95
2019-08-01 14:40:27.800,ub01l2-timer,101,8.49,44.80
2019-08-01 14:41:10.230,ub01l2-timer,101,8.52,44.48
2019-08-01 14:41:52.980,ub01l2-timer,101,8.54,42.74
2019-08-01 14:42:38.490,ub01l2-timer,101,8.51,42.40
2019-08-01 14:43:24.780,ub01l2-timer,101,8.51,44.45
2019-08-01 14:47:54.180,ub01l2-timer,101,8.51,41.75
2019-08-01 14:48:36.420,ub01l2-timer,101,8.50,44.49
2019-08-01 14:49:20.620,ub01l2-timer,101,8.51,42.32
2019-08-01 15:28:17.580,ub01l2-timer,101,8.56,42.88
2019-08-01 15:29:02.210,ub01l2-timer,101,8.47,44.46
